2026-07-12 16:41:14 | INFO     | __main__ | Starting LawyerTracker v0.1.0
2026-07-12 16:41:14 | INFO     | database.connection | Database ready at C:\Users\kevin\Desktop\LawyerTracker\data\lawyertracker.db
2026-07-12 16:41:15 | INFO     | database.connection | Database ready at C:\Users\kevin\Desktop\LawyerTracker\data\lawyertracker.db
2026-07-12 16:41:15 | INFO     | ui.app | Navigated to screen: onboarding
2026-07-12 16:41:29 | INFO     | api.ecourts_client | eCourts session bootstrapped.
2026-07-12 16:41:29 | INFO     | services.location_service | Loaded 38 districts for state_code=10
2026-07-12 16:41:32 | INFO     | services.location_service | Loaded 13 court complexes for state_code=10 dist_code=2
2026-07-12 16:41:37 | INFO     | services.profile_service | Profile saved for advocate: Bastin Leve Raja
2026-07-12 16:41:37 | INFO     | ui.screens.onboarding_screen | Onboarding complete for Bastin Leve Raja
2026-07-12 16:41:37 | INFO     | ui.app | Navigated to screen: home
2026-07-12 16:41:38 | INFO     | services.location_service | Loaded 38 districts for state_code=10
2026-07-12 16:41:38 | INFO     | services.location_service | Loaded 38 districts for state_code=10
2026-07-12 16:41:38 | INFO     | services.location_service | Loaded 13 court complexes for state_code=10 dist_code=2
2026-07-12 16:41:38 | INFO     | services.location_service | Loaded 13 court complexes for state_code=10 dist_code=2
2026-07-12 16:41:40 | INFO     | ui.app | Navigated to screen: settings
2026-07-12 16:41:49 | INFO     | services.config_service | Config updated: kevinocr_dir
2026-07-12 16:41:53 | INFO     | services.captcha_service | KevinOCR engine loaded from C:\Users\kevin\Desktop\CAPTCHA\KevinOCR v4
2026-07-12 16:41:55 | INFO     | ui.app | Navigated to screen: home
2026-07-12 16:42:02 | INFO     | ui.app | Navigated to screen: captcha
2026-07-12 16:42:04 | INFO     | services.captcha_service | KevinOCR suggestion generated for CAPTCHA screen.
2026-07-12 16:42:06 | WARNING  | api.parser | Advocate search response had no recognizable case-list field: ['errormsg', 'div_captcha', 'adv_data', 'status']
2026-07-12 16:42:10 | INFO     | ui.app | Navigated to screen: home
2026-07-12 16:42:18 | INFO     | ui.app | Navigated to screen: captcha
2026-07-12 16:42:19 | INFO     | services.captcha_service | KevinOCR suggestion generated for CAPTCHA screen.
2026-07-12 16:42:22 | INFO     | ui.app | Navigated to screen: results
2026-07-12 16:42:23 | INFO     | services.search_service | Saved case id=1 (CRLMP/101899/2023 — Periyanayagi and One Other vs The Sub - Inspector of Police, Keeramangalam Police Station,)
2026-07-12 16:42:25 | INFO     | services.search_service | Saved case id=2 (MCOP/812/2022 — Periyanayagi vs Arjunan 2) The Branch Manager, National Insurance Company Ltd, Pudukkottai.)
2026-07-12 16:42:26 | INFO     | services.search_service | Saved case id=3 (EP/17/2024 — Nagammal vs Jeyaramachandran 2) Branch Manager, United India Insurance Company , 3) Branch Manager, Ms Sriram Autos)
2026-07-12 16:42:28 | INFO     | services.search_service | Saved case id=3 (EP/17/2024 — Nagammal vs Jeyaramachandran 2) Branch Manager, United India Insurance Company , 3) Branch Manager, Ms Sriram Autos)
2026-07-12 16:42:30 | INFO     | services.search_service | Saved case id=3 (EP/17/2024 — Nagammal vs Jeyaramachandran 2) Branch Manager, United India Insurance Company , 3) Branch Manager, Ms Sriram Autos)
2026-07-12 16:42:32 | INFO     | services.search_service | Saved case id=3 (EP/17/2024 — Nagammal vs Jeyaramachandran 2) Branch Manager, United India Insurance Company , 3) Branch Manager, Ms Sriram Autos)
2026-07-12 16:42:34 | INFO     | services.search_service | Saved case id=7 (MCOP/261/2022 — Dhanalakshmi vs Sambathkumar Advocate - BASTIN LEVE RAJA 2) The Branch Manager, Royal Sundaram General Insurance Com., Ltd.,)
2026-07-12 16:42:36 | INFO     | services.search_service | Saved case id=8 (OS/141/2026 — Sate Bank of india , Alangudi Branch vs Abinaya)
2026-07-12 16:42:38 | INFO     | services.search_service | Saved case id=9 (OS/104/2026 — State Bank of India,Alangudi Branch vs Sengamalam)
2026-07-12 16:42:40 | INFO     | services.search_service | Saved case id=10 (OS/87/2026 — SBI vs Elayaraja)
2026-07-12 16:42:42 | INFO     | services.search_service | Saved case id=11 (OS/86/2026 — SBI vs Elayaraja A)
2026-07-12 16:42:45 | INFO     | services.search_service | Saved case id=12 (OS/74/2026 — State Bank of India, Alangudi Branch vs Thiruveni)
2026-07-12 16:42:47 | INFO     | services.search_service | Saved case id=13 (OS/65/2026 — State Bank of India vs G Durkalakshmi)
2026-07-12 16:42:49 | INFO     | services.search_service | Saved case id=14 (OS/25/2026 — State Bank of India vs Prakash 2) Anbarasan)
2026-07-12 16:42:51 | INFO     | services.search_service | Saved case id=15 (OS/23/2026 — State Bank of India vs Panneerselvam T)
2026-07-12 16:42:53 | INFO     | services.search_service | Saved case id=16 (OS/11/2026 — State Bank Of India. vs Ramya)
2026-07-12 16:42:56 | INFO     | services.search_service | Saved case id=17 (OS/9/2026 — State Bank Of India vs Maheshwari M)
2026-07-12 16:42:58 | INFO     | services.search_service | Saved case id=18 (OS/8/2026 — State Bank Of India vs Kamatchi S)
2026-07-14 07:08:01 | WARNING  | services.reminder_logic | Invalid reminder_time 'nonsense', falling back to default.
2026-07-14 07:08:11 | INFO     | database.connection | Database ready at /tmp/lt_test_data/test.db
2026-07-14 07:08:11 | INFO     | services.profile_service | Profile saved for advocate: Kevin Rao
2026-07-14 07:08:11 | INFO     | services.config_service | Config updated: telegram_enabled
2026-07-14 07:08:11 | INFO     | services.config_service | Config updated: telegram_bot_token
2026-07-14 07:08:11 | INFO     | services.config_service | Config updated: telegram_chat_id
2026-07-14 07:08:11 | INFO     | services.config_service | Config updated: reminder_time
2026-07-14 07:08:11 | INFO     | services.reminder_logic | Reminder settings saved (enabled=True, time=20:00)
2026-07-14 07:08:11 | INFO     | services.config_service | Config updated: last_reminder_sent
2026-07-14 07:08:23 | INFO     | database.connection | Database ready at /tmp/lt_test_data/test2.db
2026-07-14 07:08:23 | INFO     | services.profile_service | Profile saved for advocate: Kevin
2026-07-14 07:08:23 | INFO     | services.config_service | Config updated: telegram_enabled
2026-07-14 07:08:23 | INFO     | services.config_service | Config updated: telegram_bot_token
2026-07-14 07:08:23 | INFO     | services.config_service | Config updated: telegram_chat_id
2026-07-14 07:08:23 | INFO     | services.config_service | Config updated: reminder_time
2026-07-14 07:08:23 | INFO     | services.reminder_logic | Reminder settings saved (enabled=True, time=07:08)
2026-07-14 07:08:23 | INFO     | services.reminder_scheduler | Reminder scheduler started.
2026-07-14 07:08:29 | INFO     | services.reminder_scheduler | Reminder scheduler stopped.
2026-07-14 07:08:44 | INFO     | database.connection | Database ready at /tmp/lt_test_data/test3.db
2026-07-14 07:08:44 | INFO     | services.profile_service | Profile saved for advocate: Kevin
2026-07-14 07:08:44 | INFO     | services.config_service | Config updated: telegram_enabled
2026-07-14 07:08:44 | INFO     | services.config_service | Config updated: telegram_bot_token
2026-07-14 07:08:44 | INFO     | services.config_service | Config updated: telegram_chat_id
2026-07-14 07:08:44 | INFO     | services.config_service | Config updated: reminder_time
2026-07-14 07:08:44 | INFO     | services.reminder_logic | Reminder settings saved (enabled=True, time=07:09)
2026-07-14 07:08:44 | INFO     | services.reminder_scheduler | Reminder scheduler started.
2026-07-14 07:09:00 | INFO     | services.config_service | Config updated: last_reminder_sent
2026-07-14 07:09:00 | INFO     | services.reminder_scheduler | Scheduled reminder sent (0 hearing(s) tomorrow).
2026-07-14 07:09:09 | INFO     | services.reminder_scheduler | Reminder scheduler stopped.
2026-07-14 07:09:15 | WARNING  | services.telegram_service | Telegram bot token or chat ID is not configured.
